Depth dose profile, Eye tissue equivalent length	Automatic Fit	Selected window Fit
Window's range [ch]:	[270, 295]	[273, 292]
Window's range [mm]:	[30.86, 33.71]	[31.2, 33.371428571428574]
Peak position:	32.46 mm	32.46 mm
Peak-plateau ratio:	2.74  	2.79  
Clinical range (R90):	32.34 mm	32.33 mm
Peak width (@50%):	5.91 mm	5.64 mm
Entrance dose:	27.33 %	26.88 %
Modulation:	0.57 mm	0.55 mm

Eye tissue equivalent length	Automatic Fit	Selected window Fit
28.11	55.58	54.65
28.23	56.22	55.28
28.34	56.89	55.93
28.46	57.59	56.61
28.57	58.32	57.33
28.69	59.10	58.08
28.80	59.91	58.88
28.91	60.77	59.71
29.03	61.68	60.60
29.14	62.65	61.54
29.26	63.69	62.54
29.37	64.80	63.61
29.49	65.98	64.76
29.60	67.26	66.00
29.71	68.64	67.33
29.83	70.13	68.78
29.94	71.74	70.35
30.06	73.48	72.05
30.17	75.35	73.90
30.29	77.36	75.90
30.40	79.51	78.06
30.51	81.78	80.37
30.63	84.15	82.82
30.74	86.61	85.38
30.86	89.12	88.02
30.97	91.62	90.69
31.09	94.05	93.32
31.20	96.36	95.82
31.31	98.44	98.11
31.43	100.22	100.08
31.54	101.58	101.62
31.66	102.44	102.60
31.77	102.69	102.93
31.89	102.24	102.50
32.00	101.01	101.24
32.11	98.96	99.08
32.23	96.06	96.00
32.34	92.31	92.03
32.46	87.76	87.21
32.57	82.49	81.64
32.69	76.61	75.44
32.80	70.25	68.77
32.91	63.57	61.80
33.03	56.75	54.71
33.14	49.94	47.70
33.26	43.31	40.93
33.37	36.99	34.55
33.49	31.11	28.67
33.60	25.76	23.38
33.71	20.98	18.73
33.83	16.81	14.73
33.94	13.25	11.37
34.06	10.26	8.61
34.17	7.81	6.40
34.29	5.84	4.66
34.40	4.29	3.33
34.51	3.09	2.33
34.63	2.19	1.60
34.74	1.52	1.07
34.86	1.04	0.70
34.97	0.69	0.45
35.09	0.46	0.29
35.20	0.29	0.18
35.31	0.18	0.11
35.43	0.11	0.06
35.54	0.07	0.04
35.66	0.04	0.02
35.77	0.02	0.01
35.89	0.01	0.01
36.00	0.01	0.00
36.11	0.00	0.00
36.23	0.00	0.00
36.34	0.00	0.00
36.46	0.00	0.00
36.57	0.00	0.00
36.69	0.00	0.00
36.80	0.00	0.00
36.91	0.00	0.00
37.03	0.00	0.00
37.14	0.00	0.00
37.26	0.00	0.00
37.37	0.00	0.00
37.49	0.00	0.00
37.60	0.00	0.00
37.71	0.00	0.00
37.83	0.00	0.00
37.94	0.00	0.00
38.06	0.00	0.00
38.17	0.00	0.00
38.29	0.00	0.00
38.40	0.00	0.00
38.51	0.00	0.00
38.63	0.00	0.00
38.74	0.00	0.00
38.86	0.00	0.00
38.97	0.00	0.00
39.09	0.00	0.00
39.20	0.00	0.00
39.31	0.00	0.00
39.43	0.00	0.00
39.54	0.00	0.00
39.66	0.00	0.00
39.77	0.00	0.00
39.89	0.00	0.00
40.00	0.00	0.00
40.11	0.00	0.00
40.23	0.00	0.00
40.34	0.00	0.00
40.46	0.00	0.00
40.57	0.00	0.00
40.69	0.00	0.00
40.80	0.00	0.00
40.91	0.00	0.00
41.03	0.00	0.00
41.14	0.00	0.00
41.26	0.00	0.00
41.37	0.00	0.00
41.49	0.00	0.00
41.60	0.00	0.00
41.71	0.00	0.00
41.83	0.00	0.00
41.94	0.00	0.00
42.06	0.00	0.00
42.17	0.00	0.00
42.29	0.00	0.00
42.40	0.00	0.00
42.51	0.00	0.00
42.63	0.00	0.00
42.74	0.00	0.00
42.86	0.00	0.00
42.97	0.00	0.00
43.09	0.00	0.00
43.20	0.00	0.00
43.31	0.00	0.00
43.43	0.00	0.00
43.54	0.00	0.00
43.66	0.00	0.00
43.77	0.00	0.00
43.89	0.00	0.00
44.00	0.00	0.00
44.11	0.00	0.00
44.23	0.00	0.00
44.34	0.00	0.00
44.46	0.00	0.00
44.57	0.00	0.00
44.69	0.00	0.00
44.80	0.00	0.00
44.91	0.00	0.00
45.03	0.00	0.00
45.14	0.00	0.00
45.26	0.00	0.00
45.37	0.00	0.00
45.49	0.00	0.00
45.60	0.00	0.00
45.71	0.00	0.00
45.83	0.00	0.00
45.94	0.00	0.00
46.06	0.00	0.00
46.17	0.00	0.00
46.29	0.00	0.00
46.40	0.00	0.00
46.51	0.00	0.00
46.63	0.00	0.00
46.74	0.00	0.00
46.86	0.00	0.00
46.97	0.00	0.00
47.09	0.00	0.00
47.20	0.00	0.00
47.31	0.00	0.00
47.43	0.00	0.00
47.54	0.00	0.00
47.66	0.00	0.00
47.77	0.00	0.00
47.89	0.00	0.00
48.00	0.00	0.00
48.11	0.00	0.00
48.23	0.00	0.00
48.34	0.00	0.00
48.46	0.00	0.00
48.57	0.00	0.00
48.69	0.00	0.00
48.80	0.00	0.00
48.91	0.00	0.00
49.03	0.00	0.00
49.14	0.00	0.00
49.26	0.00	0.00
49.37	0.00	0.00
49.49	0.00	0.00
49.60	0.00	0.00
49.71	0.00	0.00
49.83	0.00	0.00
49.94	0.00	0.00
50.06	0.00	0.00
50.17	0.00	0.00
50.29	0.00	0.00
50.40	0.00	0.00
50.51	0.00	0.00
50.63	0.00	0.00
50.74	0.00	0.00
50.86	0.00	0.00
50.97	0.00	0.00
51.09	0.00	0.00
51.20	0.00	0.00
51.31	0.00	0.00
51.43	0.00	0.00
51.54	0.00	0.00
51.66	0.00	0.00
51.77	0.00	0.00
51.89	0.00	0.00
52.00	0.00	0.00
52.11	0.00	0.00
52.23	0.00	0.00
52.34	0.00	0.00
52.46	0.00	0.00
52.57	0.00	0.00
52.69	0.00	0.00
52.80	0.00	0.00
52.91	0.00	0.00
53.03	0.00	0.00
53.14	0.00	0.00
53.26	0.00	0.00
53.37	0.00	0.00
53.49	0.00	0.00
53.60	0.00	0.00
53.71	0.00	0.00
53.83	0.00	0.00
53.94	0.00	0.00
54.06	0.00	0.00
54.17	0.00	0.00
54.29	0.00	0.00
54.40	0.00	0.00
54.51	0.00	0.00
54.63	0.00	0.00
54.74	0.00	0.00
54.86	0.00	0.00
54.97	0.00	0.00
55.09	0.00	0.00
55.20	0.00	0.00
55.31	0.00	0.00
55.43	0.00	0.00
55.54	0.00	0.00
55.66	0.00	0.00
55.77	0.00	0.00
55.89	0.00	0.00
56.00	0.00	0.00
56.11	0.00	0.00
56.23	0.00	0.00
56.34	0.00	0.00
56.46	0.00	0.00
56.57	0.00	0.00
56.69	0.00	0.00
56.80	0.00	0.00
56.91	0.00	0.00
57.03	0.00	0.00
57.14	0.00	0.00
57.26	0.00	0.00
57.37	0.00	0.00
57.49	0.00	0.00
57.60	0.00	0.00
57.71	0.00	0.00
57.83	0.00	0.00
57.94	0.00	0.00
58.06	0.00	0.00
58.17	0.00	0.00
58.29	0.00	0.00
58.40	0.00	0.00
58.51	0.00	0.00
