Depth dose profile, Eye tissue equivalent length	Automatic Fit	Selected window Fit
Window's range [ch]:	[267, 296]	[250, 298]
Window's range [mm]:	[30.51, 33.83]	[28.57, 34.06]
Peak position:	32.57 mm	32.57 mm
Peak-plateau ratio:	2.69  	2.55  
Clinical range (R90):	32.36 mm	32.36 mm
Peak width (@50%):	6.07 mm	6.94 mm
Entrance dose:	27.59 %	28.99 %
Modulation:	0.59 mm	0.59 mm

Eye tissue equivalent length	Automatic Fit	Selected window Fit
28.11	56.11	60.43
28.23	56.76	61.22
28.34	57.44	62.04
28.46	58.15	62.89
28.57	58.90	63.77
28.69	59.68	64.69
28.80	60.51	65.63
28.91	61.39	66.60
29.03	62.32	67.59
29.14	63.31	68.61
29.26	64.37	69.66
29.37	65.50	70.74
29.49	66.71	71.84
29.60	68.01	72.99
29.71	69.41	74.17
29.83	70.91	75.41
29.94	72.53	76.70
30.06	74.26	78.08
30.17	76.10	79.54
30.29	78.07	81.10
30.40	80.15	82.76
30.51	82.34	84.54
30.63	84.62	86.43
30.74	86.96	88.41
30.86	89.35	90.47
30.97	91.73	92.56
31.09	94.06	94.65
31.20	96.27	96.65
31.31	98.29	98.51
31.43	100.03	100.12
31.54	101.39	101.39
31.66	102.28	102.22
31.77	102.60	102.49
31.89	102.24	102.11
32.00	101.15	101.01
32.11	99.25	99.11
32.23	96.51	96.39
32.34	92.94	92.83
32.46	88.56	88.49
32.57	83.45	83.42
32.69	77.72	77.72
32.80	71.49	71.53
32.91	64.92	65.00
33.03	58.17	58.29
33.14	51.40	51.56
33.26	44.78	44.97
33.37	38.44	38.67
33.49	32.51	32.76
33.60	27.08	27.34
33.71	22.20	22.47
33.83	17.91	18.19
33.94	14.22	14.49
34.06	11.11	11.36
34.17	8.53	8.76
34.29	6.44	6.65
34.40	4.78	4.97
34.51	3.48	3.65
34.63	2.50	2.63
34.74	1.76	1.87
34.86	1.21	1.30
34.97	0.82	0.89
35.09	0.55	0.60
35.20	0.36	0.40
35.31	0.23	0.26
35.43	0.14	0.17
35.54	0.09	0.10
35.66	0.05	0.06
35.77	0.03	0.04
35.89	0.02	0.02
36.00	0.01	0.01
36.11	0.01	0.01
36.23	0.00	0.00
36.34	0.00	0.00
36.46	0.00	0.00
36.57	0.00	0.00
36.69	0.00	0.00
36.80	0.00	0.00
36.91	0.00	0.00
37.03	0.00	0.00
37.14	0.00	0.00
37.26	0.00	0.00
37.37	0.00	0.00
37.49	0.00	0.00
37.60	0.00	0.00
37.71	0.00	0.00
37.83	0.00	0.00
37.94	0.00	0.00
38.06	0.00	0.00
38.17	0.00	0.00
38.29	0.00	0.00
38.40	0.00	0.00
38.51	0.00	0.00
38.63	0.00	0.00
38.74	0.00	0.00
38.86	0.00	0.00
38.97	0.00	0.00
39.09	0.00	0.00
39.20	0.00	0.00
39.31	0.00	0.00
39.43	0.00	0.00
39.54	0.00	0.00
39.66	0.00	0.00
39.77	0.00	0.00
39.89	0.00	0.00
40.00	0.00	0.00
40.11	0.00	0.00
40.23	0.00	0.00
40.34	0.00	0.00
40.46	0.00	0.00
40.57	0.00	0.00
40.69	0.00	0.00
40.80	0.00	0.00
40.91	0.00	0.00
41.03	0.00	0.00
41.14	0.00	0.00
