Depth dose profile, Water equivalent length	Automatic Fit	Selected range Fit
Window's range [ch]:	[122, 258]	[0, 511]
Window's range [mm]:	[14.64, 30.96]	[0.0, 61.32]
Peak position:	29.52 mm	29.52 mm
Peak-plateau ratio:	1.29  	2.56  
Clinical range (R90):	16.17 mm	16.10 mm
Peak width (@50%):	29.80 mm	23.35 mm
Entrance dose:	64.99 %	37.33 %

Water equivalent length	Automatic Fit	Selected range Fit
29.88	55.90	52.15
30.00	50.01	45.90
30.12	44.12	39.66
30.24	38.36	33.55
30.36	32.85	27.70
30.48	27.69	22.20
30.60	22.96	17.15
30.72	18.72	12.59
30.84	15.00	8.55
30.96	11.80	5.03
31.08	9.11	2.03
31.20	6.90	-0.50
31.32	5.13	-2.61
31.44	3.73	-4.33
31.56	2.66	-5.73
31.68	1.85	-6.86
31.80	1.27	-7.77
31.92	0.84	-8.49
32.04	0.55	-9.06
32.16	0.35	-9.51
32.28	0.22	-9.87
32.40	0.13	-10.15
32.52	0.08	-10.38
32.64	0.04	-10.55
32.76	0.03	-10.69
32.88	0.01	-10.81
33.00	0.01	-10.90
33.12	0.00	-10.97
33.24	0.00	-11.03
33.36	0.00	-11.08
33.48	0.00	-11.12
33.60	0.00	-11.16
33.72	0.00	-11.19
33.84	0.00	-11.21
33.96	0.00	-11.23
34.08	0.00	-11.24
34.20	0.00	-11.25
34.32	0.00	-11.24
34.44	0.00	-11.24
34.56	0.00	-11.22
34.68	0.00	-11.20
34.80	0.00	-11.17
34.92	0.00	-11.14
35.04	0.00	-11.10
35.16	0.00	-11.05
35.28	0.00	-11.01
35.40	0.00	-10.96
35.52	0.00	-10.91
35.64	0.00	-10.87
35.76	0.00	-10.83
35.88	0.00	-10.79
36.00	0.00	-10.76
36.12	0.00	-10.73
36.24	0.00	-10.71
36.36	0.00	-10.70
36.48	0.00	-10.69
36.60	0.00	-10.69
36.72	0.00	-10.70
36.84	0.00	-10.71
36.96	0.00	-10.74
37.08	0.00	-10.77
37.20	0.00	-10.81
37.32	0.00	-10.86
37.44	0.00	-10.92
37.56	0.00	-10.97
37.68	0.00	-11.03
37.80	0.00	-11.09
37.92	0.00	-11.14
38.04	0.00	-11.17
38.16	0.00	-11.20
38.28	0.00	-11.20
38.40	0.00	-11.18
38.52	0.00	-11.15
38.64	0.00	-11.08
38.76	0.00	-10.99
38.88	0.00	-10.88
39.00	0.00	-10.74
39.12	0.00	-10.58
39.24	0.00	-10.41
39.36	0.00	-10.22
39.48	0.00	-10.02
39.60	0.00	-9.81
39.72	0.00	-9.60
39.84	0.00	-9.39
39.96	0.00	-9.18
40.08	0.00	-8.98
40.20	0.00	-8.78
40.32	0.00	-8.59
40.44	0.00	-8.41
40.56	0.00	-8.24
40.68	0.00	-8.08
40.80	0.00	-7.93
40.92	0.00	-7.80
41.04	0.00	-7.68
41.16	0.00	-7.57
41.28	0.00	-7.48
41.40	0.00	-7.39
41.52	0.00	-7.32
41.64	0.00	-7.26
41.76	0.00	-7.21
41.88	0.00	-7.16
42.00	0.00	-7.12
42.12	0.00	-7.09
42.24	0.00	-7.05
42.36	0.00	-7.02
42.48	0.00	-6.98
42.60	0.00	-6.93
42.72	0.00	-6.88
42.84	0.00	-6.82
42.96	0.00	-6.75
43.08	0.00	-6.67
43.20	0.00	-6.59
43.32	0.00	-6.49
43.44	0.00	-6.38
43.56	0.00	-6.27
43.68	0.00	-6.15
43.80	0.00	-6.03
43.92	0.00	-5.90
44.04	0.00	-5.76
44.16	0.00	-5.63
44.28	0.00	-5.49
44.40	0.00	-5.35
44.52	0.00	-5.22
44.64	0.00	-5.08
44.76	0.00	-4.95
44.88	0.00	-4.82
45.00	0.00	-4.69
45.12	0.00	-4.56
45.24	0.00	-4.44
45.36	0.00	-4.33
45.48	0.00	-4.22
45.60	0.00	-4.13
45.72	0.00	-4.03
45.84	0.00	-3.95
45.96	0.00	-3.88
46.08	0.00	-3.81
46.20	0.00	-3.76
46.32	0.00	-3.71
46.44	0.00	-3.67
46.56	0.00	-3.64
46.68	0.00	-3.62
46.80	0.00	-3.61
46.92	0.00	-3.61
47.04	0.00	-3.60
47.16	0.00	-3.61
47.28	0.00	-3.61
47.40	0.00	-3.62
47.52	0.00	-3.63
47.64	0.00	-3.64
47.76	0.00	-3.64
47.88	0.00	-3.64
48.00	0.00	-3.64
48.12	0.00	-3.63
48.24	0.00	-3.62
48.36	0.00	-3.59
48.48	0.00	-3.57
48.60	0.00	-3.53
48.72	0.00	-3.49
48.84	0.00	-3.44
48.96	0.00	-3.38
49.08	0.00	-3.32
49.20	0.00	-3.26
49.32	0.00	-3.19
49.44	0.00	-3.12
49.56	0.00	-3.05
49.68	0.00	-2.98
49.80	0.00	-2.91
49.92	0.00	-2.84
50.04	0.00	-2.77
50.16	0.00	-2.71
50.28	0.00	-2.64
50.40	0.00	-2.58
50.52	0.00	-2.52
50.64	0.00	-2.46
50.76	0.00	-2.41
50.88	0.00	-2.35
51.00	0.00	-2.30
51.12	0.00	-2.24
51.24	0.00	-2.19
51.36	0.00	-2.14
51.48	0.00	-2.08
51.60	0.00	-2.03
51.72	0.00	-1.98
51.84	0.00	-1.92
51.96	0.00	-1.87
52.08	0.00	-1.81
52.20	0.00	-1.76
52.32	0.00	-1.71
52.44	0.00	-1.65
52.56	0.00	-1.60
52.68	0.00	-1.55
52.80	0.00	-1.50
52.92	0.00	-1.45
53.04	0.00	-1.39
53.16	0.00	-1.34
53.28	0.00	-1.29
53.40	0.00	-1.24
53.52	0.00	-1.19
53.64	0.00	-1.14
53.76	0.00	-1.10
53.88	0.00	-1.05
54.00	0.00	-1.00
54.12	0.00	-0.96
54.24	0.00	-0.92
54.36	0.00	-0.88
54.48	0.00	-0.84
54.60	0.00	-0.81
54.72	0.00	-0.78
54.84	0.00	-0.75
54.96	0.00	-0.73
55.08	0.00	-0.72
55.20	0.00	-0.70
55.32	0.00	-0.70
55.44	0.00	-0.70
55.56	0.00	-0.70
55.68	0.00	-0.71
55.80	0.00	-0.72
55.92	0.00	-0.74
56.04	0.00	-0.77
